,city,country,lat,long,temp,humidity,cloudiness,wind speed
0,lata,sb,-4.474539326743056,168.63974888490918,37.02,28,0,10.2
1,cabo san lucas,mx,9.92719136599166,-126.79121886555818,76.48,78,40,6.93
2,camargo,mx,27.744881927255847,-104.68097862119417,69.21,55,100,5.3
4,castro,cl,-54.26510849696128,-106.83971164206667,45.23,94,98,7.63
5,new norfolk,au,-76.72985732063276,128.96107505639316,61.05,20,93,24.16
6,tasiilaq,gl,87.08733777669352,-35.9213367507067,33.8,50,100,31.09
7,carnarvon,au,-27.51496198699102,87.21911055274273,74.23,26,29,14.05
9,lakeside,us,30.03599075082738,-82.0190499913628,59.38,71,90,0.56
10,iqaluit,ca,58.825833071213964,-75.3662412843623,19.18,85,75,4.7
11,chuy,uy,-39.2278913122438,-49.1641569162083,54.48,74,0,4.36
12,arraial do cabo,br,-40.38845643699856,-27.759702178888205,74.1,94,100,17
13,butaritari,ki,23.28035113859903,174.74240316426904,84.76,72,82,9.53
14,ambilobe,mg,-11.007194904830044,51.44322422269289,90.41,43,100,11.3
15,ushuaia,ar,-61.02579228280323,-72.01008232127417,35.6,80,90,2.8
16,esperance,au,-42.51534652222392,127.13217992422659,62.6,63,90,16.11
17,kununurra,au,-17.506670795939613,131.02247558528944,100.4,8,60,6.93
18,buraydah,sa,26.51723211357418,43.37230801985734,64.4,63,3,9.17
19,saskylakh,ru,72.14115565842471,119.43294399147538,-10.77,95,11,6.71
20,yellowknife,ca,77.04676387604223,-100.8947321048226,11.39,78,90,3.36
21,bluff,nz,-68.08651663261165,166.89276157929356,86.27,12,57,2.86
22,warmbad,na,-28.462760798389155,17.726341668887613,39.85,87,12,8.05
23,saint george,bm,29.88678244381481,-62.68361921969286,50.09,100,75,2.04
24,vila franca do campo,pt,44.13411256690583,-18.82854744829885,60.8,72,75,3.36
25,nouakchott,mr,18.175718106292635,-15.913592617027177,73.4,40,31,14.99
26,khatanga,ru,86.87195319378114,96.24342296542005,-5.12,82,0,11.14
27,rikitea,pf,-49.217850035717944,-120.80507229552026,76.55,82,50,4.45
28,kattivakkam,in,12.702497349222853,83.53126323597945,87.93,66,20,6.93
29,puerto ayora,ec,-0.33017960525147316,-104.97288289797305,69.01,92,8,5.99
30,sao filipe,cv,2.955465217564182,-26.433468415640704,77.2,72,92,22.82
31,yellowknife,ca,66.84719337913819,-108.3629897605991,11.39,78,90,3.36
33,saint anthony,ca,55.00171487075971,-52.44575285831998,33.49,69,1,1.95
34,cape town,za,-50.41480584857361,-7.869295631132445,60.73,87,75,14.99
35,east london,za,-49.284823604755246,39.641718053273934,68,94,13,6.93
36,rikitea,pf,-50.224963912906524,-120.3543733217062,76.55,82,50,4.45
37,atuona,pf,-3.148601858014061,-149.33808860165695,80.89,74,26,18.75
38,remedios,pa,7.7236242900467715,-82.00625461654523,69.46,99,86,2.01
39,bethel,us,56.24814413364098,-164.4598664381036,29.55,100,90,13.87
40,hobart,au,-51.47865389932198,152.3609397850638,61.21,20,78,24.16
41,busselton,au,-67.31128418575722,97.45221705438638,73.63,31,4,12.62
42,thompson,ca,73.87597420011505,-97.1300020793739,6.8,77,90,6.93
43,mataura,pf,-57.941572579733474,-149.77739308670172,61,71,61,10
44,santa cruz,cr,8.470687594583325,-88.74929742821577,74.19,69,69,11.72
45,saint-joseph,re,-25.048703354358622,55.04977460540567,48.34,76,67,3.36
46,atascocita,us,30.383239772973695,-95.05939158961647,66.67,88,1,5.99
47,puerto carreno,co,6.29488881203639,-68.28107593130808,76.59,91,87,5.61
49,avarua,ck,-61.13859791321974,-165.6654282398942,73.4,78,100,8.05
50,atuona,pf,4.732308398790408,-124.41368688125007,80.89,74,26,18.75
52,lloydminster,ca,53.61228686386593,-109.66825553989472,14,66,90,8.05
53,portland,au,-53.82730814201855,132.28880537878803,47.57,87,1,8.05
54,ratnagiri,in,16.337636226557095,69.02600213508308,90.21,57,5,1.68
55,kodiak,us,41.13089742747587,-144.93343034449725,42.15,71,1,3.36
56,geraldton,au,-34.685340503511355,85.7552383821021,15.8,85,90,5.82
57,constitucion,mx,17.05219703454648,-123.884455054552,62.01,66,93,5.99
58,rikitea,pf,-58.968944553251454,-130.06643569618953,76.55,82,50,4.45
59,mkushi,zm,-14.236441051287485,29.842966676484707,76.12,48,78,12.68
60,korsakovo,ru,53.301791997306,37.37476135169072,47.84,78,100,16.62
61,salta,ar,-24.810244014087203,-67.1991556211992,66.45,82,90,5.82
62,arraial do cabo,br,-31.692804132792723,-34.12899834473325,74.1,94,100,17
63,constitucion,mx,16.612993824456723,-122.64883263849329,62.01,66,93,5.99
65,cidreira,br,-36.445649898000404,-41.606026722283104,67.44,69,70,9.78
67,cape town,za,-51.09903722698958,-11.702214063196323,60.73,87,75,14.99
68,ushuaia,ar,-61.14827744378094,-40.269193770403746,35.6,80,90,2.8
69,chokurdakh,ru,83.37347018158124,150.71648673402802,-5.01,100,73,1.95
70,north platte,us,41.711019538719086,-100.43396934355934,32.34,92,1,3.36
71,taicheng,cn,20.915421899266676,113.02660353980536,80.49,48,100,1.99
72,yellowknife,ca,86.43289072969753,-112.3522839326276,11.39,78,90,3.36
73,carnarvon,za,-31.8276382885552,22.825692264089753,74.23,26,29,14.05
74,hithadhoo,mv,-7.773905770297205,82.83003430394206,82.35,72,81,7.7
75,yellowknife,ca,63.58391161786608,-112.3318178684694,11.39,78,90,3.36
77,arman,ru,56.81699395536617,147.63575653209023,34.38,58,100,27.51
78,mar del plata,ar,-47.31391229872647,-44.77048079411196,54.7,47,56,29.53
79,rikitea,pf,-44.08238514150465,-139.44159771125237,76.55,82,50,4.45
81,albany,au,-39.12352017731521,114.50587802324418,36.84,60,90,8.05
82,bluff,nz,-75.98038130245439,154.81327526779438,86.27,12,57,2.86
83,rikitea,pf,-63.616990233558745,-117.11844990023394,76.55,82,50,4.45
84,varca,in,14.920812767677106,73.27399898943679,82.4,78,40,4.7
85,anchorage,us,63.7210106593125,-151.6870079239673,32.05,74,90,6.93
86,arraial do cabo,br,-49.455701486106435,-21.596387784138955,74.1,94,100,17
87,hobart,au,-55.969551674355536,152.20043152492252,61.21,20,78,24.16
88,trapani,it,39.098645110946876,11.166418396393055,63.03,77,40,24.16
89,ushuaia,ar,-75.48880837522051,-23.826331548277523,35.6,80,90,2.8
90,mehamn,no,70.4463789909282,28.23590184988953,30.2,86,75,13.87
91,sibiti,cg,-3.108923515151176,13.383271290189896,71.38,97,100,0.69
92,busselton,au,-85.63985257049492,75.76957663672502,73.63,31,4,12.62
93,punta arenas,cl,-84.30498960720654,-98.19389029533421,35.33,86,90,21.92
94,atar,mr,22.370276244391803,-13.43485869156055,66.72,48,50,11.54
95,karlskoga,se,59.4572760076866,14.701047682913611,26.26,86,100,10.29
96,mujiayingzi,cn,43.17137162571527,117.6751730700912,51.19,40,14,11.56
97,khatanga,ru,85.81027233362508,95.89460225202424,-5.12,82,0,11.14
98,hovd,mn,44.27316898465631,103.49620227331002,21.97,78,100,9.17
99,hilo,us,6.643192880945648,-153.40706438368298,74.53,69,1,3.36
100,georgetown,sh,-16.899917879094332,-17.359266609137137,82.92,80,86,15.82
101,saskylakh,ru,89.07576127603093,118.73551928553883,-10.77,95,11,6.71
102,necochea,ar,-40.99390562818927,-58.73076913315482,50.81,66,0,10.94
103,axim,gh,-0.7983503999342645,-3.2912786790596726,74.05,94,0,0.65
104,vaini,to,-66.30377074105401,-173.14697142637652,78.76,69,20,3.71
106,port alfred,za,-75.07159488554018,45.84932413933586,69.01,77,28,4
107,mahebourg,mu,-35.555233378557375,71.96873732920278,78.58,73,40,5.82
108,jumla,np,33.09280434015177,83.79992510273053,60.15,19,0,5.73
109,new norfolk,au,-82.88187289232295,127.88744519295483,61.05,20,93,24.16
110,kapaa,us,30.358289184829403,-174.10676125352245,78.35,78,40,2.57
111,port elizabeth,za,-63.73679516923156,31.93528697506784,50.14,62,1,3.36
112,valparaiso,cl,-32.73972779876842,-73.47800786769245,28.81,92,1,4.74
113,tuktoyaktuk,ca,85.14653294198934,-133.94547971622794,26.6,92,90,23.04
114,fort nelson,ca,63.29666178174216,-122.52695873686864,6.8,84,5,5.82
115,hermanus,za,-82.8472947620999,2.4852407626259776,62.71,68,65,11.01
116,rio grande,us,18.301366369014374,-65.82721673397971,51.01,98,0,9.46
117,batticaloa,lk,10.118647417995916,85.26986746704881,87.33,53,56,8.34
118,faanui,pf,-15.185795756345414,-152.46498204914658,80.83,75,18,9.66
119,ostrovnoy,ru,76.25030834358594,43.708059982698785,25.48,79,99,4.83
120,yellowknife,ca,72.87374341163769,-100.90479578041749,11.39,78,90,3.36
121,fairbanks,us,78.07845386116381,-144.45662965980145,12.88,85,75,3.53
122,tyukhtet,ru,56.26297268455022,89.3020914460975,32.65,66,100,18.86
123,puerto ayora,ec,-9.50824012884273,-102.06673568401845,69.01,92,8,5.99
124,avera,pf,-33.729324888623445,-155.71044856389298,58.35,100,1,5.93
125,rikitea,pf,-66.2211556586659,-138.98781906543036,76.55,82,50,4.45
126,havre,us,48.71428521700082,-109.36107351233747,16.63,92,90,17.22
127,hualmay,pe,-17.833245007082127,-90.30170002481141,59.54,87,18,2.71
128,upernavik,gl,87.56082839898667,-49.677370394132794,18.37,69,100,4.36
129,mataura,pf,-33.52669946221911,-147.33220753882046,61,71,61,10
130,ushuaia,ar,-80.21059367731742,-47.56319161778521,35.6,80,90,2.8
131,arraial do cabo,br,-42.16367446680157,-20.725827619054172,74.1,94,100,17
132,barrow,us,78.83802924338221,-153.45698052544176,52.57,35,0,10.67
133,kavieng,pg,15.70808845983035,157.75715321256206,79.34,87,100,28.25
134,ust-nera,ru,64.42039921366205,144.05952637724454,-0.84,96,98,4.32
135,mataura,pf,-37.351908671995375,-153.6376772674292,61,71,61,10
136,yulara,au,-23.064980567371904,128.41973696364153,91.4,6,8,9.17
137,kapaa,us,35.78498971607577,-175.8022060915188,78.35,78,40,2.57
138,vaini,to,-33.14521227812649,-170.4903135418952,78.76,69,20,3.71
139,castro,cl,-53.85182239986884,-94.99657187611521,45.23,94,98,7.63
140,kavaratti,in,8.882486334320063,72.62528112674636,84.2,74,20,11.41
141,nikolskoye,ru,40.37179477594938,172.98661609904235,32.68,59,100,13.42
142,nikolskoye,ru,43.45211883773263,171.00353401839334,32.68,59,100,13.42
144,severo-kurilsk,ru,39.61387225230865,164.26458986057753,33.69,91,53,7.2
145,bredasdorp,za,-38.565267816197085,20.134299289452315,60.13,87,94,3.36
146,hervey bay,au,-21.27178328292233,155.84512797276432,82.22,24,34,11.41
147,punta arenas,cl,-85.46333496756154,-109.78611886177431,35.33,86,90,21.92
148,lasa,cn,29.436129220099872,92.05708369027877,64.4,63,0,5.82
149,cape town,za,-69.35963828646197,-10.272596766368338,60.73,87,75,14.99
150,berdigestyakh,ru,61.8753135293658,124.32740054018558,0.09,86,100,9.44
151,georgetown,sh,-4.20061150308517,-18.626566183676033,82.92,80,86,15.82
152,butaritari,ki,13.958127380440118,179.632871953932,84.76,72,82,9.53
153,cape town,za,-74.16185411407407,-14.446146300178896,60.73,87,75,14.99
154,tura,ru,63.47598961488262,99.1681208939504,5,91,100,6.53
156,linfen,cn,36.39897399834993,111.17415110682754,61.07,43,100,4.72
157,narsaq,gl,86.53030147738886,-64.27319239598647,33.8,86,79,3.36
158,saskylakh,ru,82.65209856186584,109.31675265874401,-10.77,95,11,6.71
159,bluff,nz,-78.86763633478341,174.24314945713786,86.27,12,57,2.86
160,bogovarovo,ru,59.466791482302256,47.23458421457855,45.23,93,100,15.1
161,thompson,ca,63.041770298764476,-99.65526580968086,6.8,77,90,6.93
162,vaini,to,-65.68962141829135,-176.3988934510389,78.76,69,20,3.71
163,schertz,us,29.469058717857465,-98.20345370237825,71.62,83,90,9.17
164,pitimbu,br,-7.711918470009607,-28.516042312088445,77,83,75,5.82
165,kavieng,pg,11.857851034154109,152.1165000417941,79.34,87,100,28.25
166,tuktoyaktuk,ca,68.49649658828346,-130.27269711124546,26.6,92,90,23.04
167,hithadhoo,mv,-9.171532225458748,69.90553901590891,82.35,72,81,7.7
168,mataura,pf,-77.16026233388715,-160.84989920357515,61,71,61,10
169,talcahuano,cl,-33.14959294822168,-79.96412875315613,51.8,81,0,12.75
170,airai,pw,14.041764967005264,144.21335854321734,78.85,51,40,8.08
172,sanmenxia,cn,34.3703429177673,111.01450726567174,62.2,41,100,3.27
173,kabompo,zm,-13.211385736909506,24.086501133836748,75.11,61,95,3.58
174,watsa,cd,2.415832589698141,29.606757028348596,72.81,81,78,1.28
175,tamale,gh,8.911073290602388,-1.0647363722708292,76.57,66,29,5.1
176,hobart,au,-64.46657546694851,150.01724718083852,61.21,20,78,24.16
178,kaitangata,nz,-78.06954329473146,178.20738011382213,55,75,97,17
179,hofn,is,68.67654199997392,-12.815882030251032,33.15,91,100,14.99
180,port-cartier,ca,51.16056759796055,-67.51928102912134,42.91,100,90,9.17
181,altamira,br,-4.506901562411713,-51.79006554741753,76.1,79,28,2.21
183,iqaluit,ca,65.88553273695732,-78.60424681655296,19.18,85,75,4.7
184,mataura,pf,-68.78701512661517,-142.31662505341208,61,71,61,10
185,yellowknife,ca,79.5401140451219,-99.19479820479359,11.39,78,90,3.36
186,jamestown,sh,-18.720925587088274,-1.3120721396170154,72.39,23,0,22.39
187,hobart,au,-71.6453506967598,140.58705152136275,61.21,20,78,24.16
190,hobart,au,-77.42968588418526,140.95538310069986,61.21,20,78,24.16
191,chokurdakh,ru,81.44886443917292,148.32677812023866,-5.01,100,73,1.95
192,ushuaia,ar,-78.05332457019651,-52.56434966523169,35.6,80,90,2.8
193,merauke,id,-7.043515877613629,137.68751066559258,84.85,60,0,13.58
194,ola,ru,56.57797817756574,152.1673460245687,30.07,89,100,32.66
195,hovd,mn,43.03677477022313,102.15654258039291,21.97,78,100,9.17
196,horodnytsya,ua,50.805874345497415,27.258704542360164,53.74,82,100,7.27
197,khatanga,ru,88.10849212829316,107.64878532142598,-5.12,82,0,11.14
198,gorontalo,id,0.8886601482657284,121.86964872586492,86.74,50,42,8.41
199,nome,us,66.694207394404,-161.04402557818958,62.69,88,1,3.36
200,russell,nz,-26.335500467613258,178.82614341800308,39.97,77,1,13.87
201,shirokiy,ru,64.52450833542437,147.76618044321333,50,75,90,4
202,khatanga,ru,85.32504800270289,92.88726184006299,-5.12,82,0,11.14
203,castro,cl,-45.69887914177819,-93.51914387108611,45.23,94,98,7.63
204,skelleftea,se,64.18772554085365,21.270368190221575,7.3,84,97,5.82
206,port alfred,za,-73.34112943914654,38.16688008795785,69.01,77,28,4
207,rawson,ar,-48.83791470661843,-60.71415935097005,58.6,49,27,28.3
208,iqaluit,ca,63.927604507176255,-73.45968248555123,19.18,85,75,4.7
209,east london,za,-71.55478402952343,51.46429585941988,68,94,13,6.93
210,talnakh,ru,80.64638956803003,90.18215564737307,10.4,78,40,13.42
211,busselton,au,-51.141675148492034,100.13220791709387,73.63,31,4,12.62
212,hermanus,za,-79.22868926280157,-2.502312219264894,62.71,68,65,11.01
213,port alfred,za,-67.91267413656787,44.541005632702735,69.01,77,28,4
214,castro,cl,-51.57577974707344,-101.80517711981793,45.23,94,98,7.63
215,cabo san lucas,mx,13.56034833990195,-120.9711053352099,76.48,78,40,6.93
216,port hardy,ca,43.91634496917723,-133.61310720801598,44.6,100,90,2.24
217,yellowknife,ca,61.57057040359467,-109.051098110636,11.39,78,90,3.36
218,east london,za,-82.15855602300802,55.35428159249241,68,94,13,6.93
219,lompoc,us,20.55918984581656,-132.66247566002912,52.32,100,90,10.13
220,ancud,cl,-38.91272133946509,-96.27964025874215,50.77,88,99,10.65
221,hambantota,lk,0.23159292131407483,85.56191956366717,82.4,94,40,5.82
222,chuy,uy,-61.346815789526325,-22.36538871134374,54.48,74,0,4.36
223,butaritari,ki,18.88107928332711,164.47898083705905,84.76,72,82,9.53
224,avarua,ck,-77.024546178474,-166.76683821143033,73.4,78,100,8.05
226,airai,pw,14.387934112427516,134.46750213922536,78.85,51,40,8.08
227,noumea,nc,-25.57580897131598,163.94672005469846,73.8,94,74,8.05
228,punta arenas,cl,-87.95555525807228,-99.7467620104133,35.33,86,90,21.92
229,nanortalik,gl,52.84975205171696,-34.73638284954205,35.06,85,27,23.62
230,nikolskoye,ru,42.31316167535189,174.4514697712578,32.68,59,100,13.42
231,pandan,ph,15.249792990502641,125.02547491452265,83.12,78,100,26.71
232,fortuna,us,36.388032242852546,-136.4927840784137,48.43,100,90,1.21
233,nikolskoye,ru,30.692761238066097,174.84766514444823,32.68,59,100,13.42
234,cabo san lucas,mx,18.537094442979352,-115.84417175640259,76.48,78,40,6.93
235,qaanaaq,gl,88.3638346659148,-91.82101058930844,3.29,59,0,10
237,punta arenas,cl,-72.72312653866152,-90.14679507161726,35.33,86,90,21.92
238,bubaque,gw,8.615528821901847,-18.865081701446428,84.16,75,100,14.03
239,carnarvon,au,-23.10891714232106,112.1810142383103,74.23,26,29,14.05
240,albany,au,-63.573205381937825,104.49491611103184,36.84,60,90,8.05
241,kavieng,pg,18.637136694663923,156.0785058413423,79.34,87,100,28.25
242,ushuaia,ar,-55.270526639247166,-52.636636989113555,35.6,80,90,2.8
243,coahuayana,mx,2.0906464470043886,-112.51513701400204,71.17,89,14,2.66
244,chuy,uy,-57.083514377190305,-29.25488112288059,54.48,74,0,4.36
245,kirando,tz,-7.2828381792915025,30.44053781295642,80.76,59,57,4.21
246,barrow,us,74.15276431434827,-160.95954949409565,52.57,35,0,10.67
247,kyshtovka,ru,56.39011274309971,77.14733987428463,28.74,88,100,14.32
248,bluff,nz,-50.26634754501807,168.78347915558425,86.27,12,57,2.86
249,airai,pw,9.46862800506085,136.49074261034787,78.85,51,40,8.08
250,srednekolymsk,ru,70.19536886741108,153.30141138902218,5.83,94,100,5.84
251,yellowknife,ca,76.08720942604515,-113.26816459805922,11.39,78,90,3.36
